更新时间: 2026-01-15 19:52:38

更新时间,#genre#
2026-01-15 19:52:38,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://119.135.192.194:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://114.245.182.223:4022/rtp/239.3.1.129:8008$北京市联通
CCTV2,http://119.135.192.194:10000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://114.245.182.223:4022/rtp/239.3.1.60:8084$北京市联通
CCTV3,http://119.135.192.194:10000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://114.245.182.223:4022/rtp/239.3.1.172:8001$北京市联通
CCTV4,http://119.135.192.194:10000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://114.245.182.223:4022/rtp/239.3.1.105:8092$北京市联通
CCTV4欧洲,http://119.135.192.194:10000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://114.245.182.223:4022/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://119.135.192.194:10000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://114.245.182.223:4022/rtp/239.3.1.214:4220$北京市联通
CCTV5,http://119.135.192.194:10000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://114.245.182.223:4022/rtp/239.3.1.173:8001$北京市联通
CCTV5+,http://119.135.192.194:10000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://114.245.182.223:4022/rtp/239.3.1.130:8004$北京市联通
CCTV6,http://119.135.192.194:10000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://114.245.182.223:4022/rtp/239.3.1.174:8001$北京市联通
CCTV7,http://119.135.192.194:10000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://114.245.182.223:4022/rtp/239.3.1.61:8104$北京市联通
CCTV8,http://119.135.192.194:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://114.245.182.223:4022/rtp/239.3.1.175:8001$北京市联通
CCTV9,http://119.135.192.194:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://114.245.182.223:4022/rtp/239.3.1.62:8112$北京市联通
CCTV10,http://119.135.192.194:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://114.245.182.223:4022/rtp/239.3.1.63:8116$北京市联通
CCTV11,http://119.135.192.194:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://114.245.182.223:4022/rtp/239.3.1.152:8120$北京市联通
CCTV12,http://119.135.192.194:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://114.245.182.223:4022/rtp/239.3.1.64:8124$北京市联通
CCTV13,http://119.135.192.194:10000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://114.245.182.223:4022/rtp/239.3.1.124:8128$北京市联通
CCTV14,http://119.135.192.194:10000/rtp/239.77.0.133:5146$广东电信
CCTV14,http://114.245.182.223:4022/rtp/239.3.1.65:8132$北京市联通
CCTV15,http://119.135.192.194:10000/rtp/239.77.1.239:5146$广东电信
CCTV15,http://114.245.182.223:4022/rtp/239.3.1.153:8136$北京市联通
CCTV16,http://119.135.192.194:10000/rtp/239.77.0.165:5146$广东电信
CCTV16,http://114.245.182.223:4022/rtp/239.3.1.183:8001$北京市联通
CCTV16,http://114.245.182.223:4022/rtp/239.3.1.184:8001$北京市联通
CCTV17,http://119.135.192.194:10000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://114.245.182.223:4022/rtp/239.3.1.151:8144$北京市联通
CCTV4K,http://119.135.192.194:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://119.135.192.194:10000/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://114.245.182.223:4022/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://114.245.182.223:4022/rtp/239.3.1.245:2000$北京市联通
兵器科技,http://119.135.192.194:10000/rtp/239.253.43.18:5146$广东电信
风云音乐,http://119.135.192.194:10000/rtp/239.253.43.29:5146$广东电信
风云足球,http://119.135.192.194:10000/rtp/239.253.43.14:5146$广东电信
风云剧场,http://119.135.192.194:10000/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://119.135.192.194:10000/rtp/239.253.43.5:5146$广东电信
第一剧场,http://119.135.192.194:10000/rtp/239.253.43.15:5146$广东电信
女性时尚,http://119.135.192.194:10000/rtp/239.253.43.8:5146$广东电信
世界地理,http://119.135.192.194:10000/rtp/239.253.43.7:5146$广东电信
央视台球,http://119.135.192.194:10000/rtp/239.253.43.11:5146$广东电信
高尔夫网球,http://119.135.192.194:10000/rtp/239.253.43.22:5146$广东电信
央视文化精品,http://119.135.192.194:10000/rtp/239.253.43.27:5146$广东电信
卫生健康,http://119.135.192.194:10000/rtp/239.77.0.212:5146$广东电信
电视指南,http://119.135.192.194:10000/rtp/239.253.43.19:5146$广东电信
中学生,http://119.135.192.194:10000/rtp/239.77.1.195:5146$广东电信
发现之旅,http://119.135.192.194:10000/rtp/239.77.1.112:5146$广东电信
书法频道,http://119.135.192.194:10000/rtp/239.77.1.115:5146$广东电信
国学频道,http://119.135.192.194:10000/rtp/239.77.0.226:5146$广东电信
环球奇观,http://119.135.192.194:10000/rtp/239.77.1.198:5146$广东电信

卫视频道,#genre#
湖南卫视,http://119.135.192.194:10000/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://119.135.192.194:10000/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://114.245.182.223:4022/rtp/239.3.1.132:8012$北京市联通
浙江卫视,http://119.135.192.194:10000/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://119.135.192.194:10000/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://114.245.182.223:4022/rtp/239.3.1.137:8036$北京市联通
江苏卫视,http://119.135.192.194:10000/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://114.245.182.223:4022/rtp/239.3.1.135:8028$北京市联通
东方卫视,http://119.135.192.194:10000/rtp/239.77.0.59:5146$广东电信
东方卫视,http://119.135.192.194:10000/rtp/239.77.1.218:5146$广东电信
东方卫视,http://114.245.182.223:4022/rtp/239.3.1.136:8032$北京市联通
深圳卫视,http://119.135.192.194:10000/rtp/239.77.0.67:5146$广东电信
深圳卫视,http://119.135.192.194:10000/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://119.135.192.194:10000/rtp/239.77.1.14:5146$广东电信
深圳卫视,http://114.245.182.223:4022/rtp/239.3.1.134:8020$北京市联通
北京卫视,http://119.135.192.194:10000/rtp/239.77.0.153:5146$广东电信
北京卫视,http://119.135.192.194:10000/rtp/239.77.1.13:5146$广东电信
北京卫视,http://119.135.192.194:10000/rtp/239.77.0.91:5146$广东电信
北京卫视,http://119.135.192.194:10000/rtp/239.77.0.2:5146$广东电信
北京卫视,http://119.135.192.194:10000/rtp/239.77.0.3:5146$广东电信
北京卫视,http://119.135.192.194:10000/rtp/239.77.0.233:5146$广东电信
北京卫视,http://114.245.182.223:4022/rtp/239.3.1.241:8000$北京市联通
广东卫视,http://119.135.192.194:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://119.135.192.194:10000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://119.135.192.194:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://119.135.192.194:10000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://114.245.182.223:4022/rtp/239.3.1.142:8048$北京市联通
广西卫视,http://119.135.192.194:10000/rtp/239.77.0.139:5146$广东电信
广西卫视,http://114.245.182.223:4022/rtp/239.3.1.39:8300$北京市联通
东南卫视,http://119.135.192.194:10000/rtp/239.77.0.146:5146$广东电信
东南卫视,http://114.245.182.223:4022/rtp/239.3.1.156:8148$北京市联通
海南卫视,http://119.135.192.194:10000/rtp/239.253.43.35:5146$广东电信
海南卫视,http://114.245.182.223:4022/rtp/239.3.1.45:8304$北京市联通
河北卫视,http://119.135.192.194:10000/rtp/239.77.1.214:5146$广东电信
河北卫视,http://114.245.182.223:4022/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://119.135.192.194:10000/rtp/239.77.0.17:5146$广东电信
河南卫视,http://114.245.182.223:4022/rtp/239.3.1.50:8184$北京市联通
湖北卫视,http://119.135.192.194:10000/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://114.245.182.223:4022/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://119.135.192.194:10000/rtp/239.77.1.219:5146$广东电信
江西卫视,http://114.245.182.223:4022/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://119.135.192.194:10000/rtp/239.77.0.159:5146$广东电信
四川卫视,http://119.135.192.194:10000/rtp/239.77.0.60:5146$广东电信
四川卫视,http://114.245.182.223:4022/rtp/239.3.1.29:8288$北京市联通
重庆卫视,http://119.135.192.194:10000/rtp/239.77.0.182:5146$广东电信
重庆卫视,http://114.245.182.223:4022/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://119.135.192.194:10000/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://114.245.182.223:4022/rtp/239.3.1.149:8076$北京市联通
云南卫视,http://119.135.192.194:10000/rtp/239.253.43.100:5146$广东电信
云南卫视,http://114.245.182.223:4022/rtp/239.3.1.26:8108$北京市联通
天津卫视,http://119.135.192.194:10000/rtp/239.77.0.131:5146$广东电信
天津卫视,http://114.245.182.223:4022/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://119.135.192.194:10000/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://114.245.182.223:4022/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://119.135.192.194:10000/rtp/239.77.0.94:5146$广东电信
山东卫视,http://119.135.192.194:10000/rtp/239.77.0.61:5146$广东电信
山东卫视,http://114.245.182.223:4022/rtp/239.3.1.209:8052$北京市联通
辽宁卫视,http://119.135.192.194:10000/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://114.245.182.223:4022/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://119.135.192.194:10000/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://114.245.182.223:4022/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://119.135.192.194:10000/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://114.245.182.223:4022/rtp/239.3.1.240:8172$北京市联通
内蒙古卫视,http://119.135.192.194:10000/rtp/239.77.0.70:5146$广东电信
内蒙古卫视,http://114.245.182.223:4022/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://119.135.192.194:10000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://119.135.192.194:10000/rtp/239.77.0.73:5146$广东电信
宁夏卫视,http://114.245.182.223:4022/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://119.135.192.194:10000/rtp/239.77.0.69:5146$广东电信
山西卫视,http://114.245.182.223:4022/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://119.135.192.194:10000/rtp/239.77.1.54:5146$广东电信
陕西卫视,http://114.245.182.223:4022/rtp/239.3.1.41:8140$北京市联通
甘肃卫视,http://119.135.192.194:10000/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://119.135.192.194:10000/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://114.245.182.223:4022/rtp/239.3.1.201:8180$北京市联通
青海卫视,http://119.135.192.194:10000/rtp/239.253.43.125:5146$广东电信
青海卫视,http://114.245.182.223:4022/rtp/239.3.1.44:8184$北京市联通
新疆卫视,http://119.135.192.194:10000/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://114.245.182.223:4022/rtp/239.3.1.167:8192$北京市联通
西藏卫视,http://119.135.192.194:10000/rtp/239.77.0.74:5146$广东电信
西藏卫视,http://119.135.192.194:10000/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://114.245.182.223:4022/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://119.135.192.194:10000/rtp/239.253.43.113:5146$广东电信
三沙卫视,http://114.245.182.223:4022/rtp/239.3.1.155:4120$北京市联通
兵团卫视,http://119.135.192.194:10000/rtp/239.77.0.77:5146$广东电信
兵团卫视,http://119.135.192.194:10000/rtp/239.77.0.48:5146$广东电信
兵团卫视,http://114.245.182.223:4022/rtp/239.3.1.168:8196$北京市联通
延边卫视,http://119.135.192.194:10000/rtp/239.77.0.10:5146$广东电信
延边卫视,http://119.135.192.194:10000/rtp/239.77.1.99:5146$广东电信
山东教育卫视,http://119.135.192.194:10000/rtp/239.77.1.35:5146$广东电信
山东教育卫视,http://119.135.192.194:10000/rtp/239.77.0.83:5146$广东电信
山东教育卫视,http://114.245.182.223:4022/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://119.135.192.194:10000/rtp/239.77.0.200:5146$广东电信
中国教育1台,http://114.245.182.223:4022/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://119.135.192.194:10000/rtp/239.77.0.28:5146$广东电信
中国教育2台,http://119.135.192.194:10000/rtp/239.77.1.69:5146$广东电信
中国教育2台,http://114.245.182.223:4022/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://114.245.182.223:4022/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://119.135.192.194:10000/rtp/239.253.43.114:5146$广东电信
中国教育4台,http://114.245.182.223:4022/rtp/239.3.1.56:4120$北京市联通
早期教育,http://119.135.192.194:10000/rtp/239.77.0.180:5146$广东电信

数字频道,#genre#
淘电影,http://114.245.182.223:4022/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://114.245.182.223:4022/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://114.245.182.223:4022/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://114.245.182.223:4022/rtp/239.3.1.100:8001$北京市联通
求索纪录,http://119.135.192.194:10000/rtp/239.77.0.21:5146$广东电信
金鹰纪实,http://119.135.192.194:10000/rtp/239.77.0.160:5146$广东电信
金鹰纪实,http://114.245.182.223:4022/rtp/239.3.1.58:8156$北京市联通
纪实科教,http://114.245.182.223:4022/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://119.135.192.194:10000/rtp/239.77.1.22:5146$广东电信
睛彩青少,http://114.245.182.223:4022/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://119.135.192.194:10000/rtp/239.77.1.20:5146$广东电信
睛彩竞技,http://114.245.182.223:4022/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://119.135.192.194:10000/rtp/239.77.1.21:5146$广东电信
睛彩篮球,http://114.245.182.223:4022/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://119.135.192.194:10000/rtp/239.77.1.23:5146$广东电信
睛彩广场舞,http://114.245.182.223:4022/rtp/239.3.1.128:8001$北京市联通
快乐垂钓,http://119.135.192.194:10000/rtp/239.77.0.145:5146$广东电信
快乐垂钓,http://114.245.182.223:4022/rtp/239.3.1.164:8001$北京市联通
茶频道,http://119.135.192.194:10000/rtp/239.77.0.15:5146$广东电信
天元围棋,http://119.135.192.194:10000/rtp/239.253.43.98:5146$广东电信
汽摩,http://119.135.192.194:10000/rtp/239.77.1.205:5146$广东电信
汽摩,http://119.135.192.194:10000/rtp/239.77.0.209:5146$广东电信
卡酷少儿,http://119.135.192.194:10000/rtp/239.77.0.79:5146$广东电信
卡酷少儿,http://119.135.192.194:10000/rtp/239.77.1.50:5146$广东电信
卡酷少儿,http://114.245.182.223:4022/rtp/239.3.1.189:8000$北京市联通
金鹰卡通,http://119.135.192.194:10000/rtp/239.77.0.164:5146$广东电信
金鹰卡通,http://119.135.192.194:10000/rtp/239.77.1.52:5146$广东电信
金鹰卡通,http://114.245.182.223:4022/rtp/239.3.1.51:9252$北京市联通
优漫卡通,http://119.135.192.194:10000/rtp/239.77.1.79:5146$广东电信
优漫卡通,http://119.135.192.194:10000/rtp/239.77.0.222:5146$广东电信
嘉佳卡通,http://119.135.192.194:10000/rtp/239.77.1.15:5146$广东电信
嘉佳卡通,http://119.135.192.194:10000/rtp/239.77.0.179:5146$广东电信
嘉佳卡通,http://114.245.182.223:4022/rtp/239.3.1.147:9268$北京市联通
中国交通,http://114.245.182.223:4022/rtp/239.3.1.188:8001$北京市联通
中国天气,http://119.135.192.194:10000/rtp/239.77.1.2:5146$广东电信
华数热播剧场,http://119.135.192.194:10000/rtp/239.77.0.106:5146$广东电信
华数少儿动画,http://119.135.192.194:10000/rtp/239.77.0.109:5146$广东电信

