更新时间: 2025-10-22 01:21:38（北京时间）

更新时间,#genre#
2025-10-22 01:21:38,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://171.120.6.38:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV1,http://171.120.5.133:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV1,http://111.8.242.103:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV1,http://111.8.242.102:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV9,http://110.80.17.38:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$福建省电信
CCTV10,http://171.120.6.38:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV10,http://171.120.5.133:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV10,http://111.8.242.103:9999/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV10,http://111.8.242.102:9999/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV10,http://110.80.17.38:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0$福建省电信
CCTV11,http://171.120.6.38:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV11,http://171.120.5.133:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV11,http://111.8.242.103:9999/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV11,http://111.8.242.102:9999/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV12,http://171.120.6.38:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV12,http://171.120.5.133:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV12,http://111.8.242.103:9999/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV13,http://171.120.6.38:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV13,http://171.120.5.133:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV13,http://111.8.242.103:9999/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV13,http://111.8.242.102:9999/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV13,http://110.80.17.38:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0$福建省电信
CCTV14,http://171.120.6.38:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV14,http://171.120.5.133:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV14,http://111.8.242.103:9999/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV14,http://111.8.242.102:9999/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV15,http://171.120.6.38:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV15,http://171.120.5.133:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$山西电信
CCTV15,http://111.8.242.103:9999/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
CCTV15,http://111.8.242.102:9999/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信

卫视频道,#genre#
湖南卫视,http://111.8.242.103:9999/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信
湖南卫视,http://111.8.242.102:9999/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信

香港电视,#genre#

省内,#genre#

