更新时间: 2025-12-07 21:05:58（北京时间）

更新时间,#genre#
2025-12-07 21:05:58,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV7,http://125.42.148.146:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://125.42.151.13:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://125.42.151.128:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.42.148.146:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.42.151.13:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.42.151.128:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.42.148.146:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.42.151.13:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.42.151.128:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://125.42.148.146:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://125.42.151.13:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://125.42.151.128:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://125.42.148.146:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://125.42.151.13:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://125.42.151.128:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://123.139.57.170:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://192.168.10.200:8008/paiptv/CCTV17.m3u8
卫视频道,#genre#
湖南卫视,http://101.66.199.182:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://101.66.199.196:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://123.139.57.170:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://125.42.148.146:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://125.42.151.13:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://125.42.151.128:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://182.114.50.17:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://192.168.10.200:8008/paiptv/HNTV.m3u8
浙江卫视,http://101.66.199.182:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://101.66.199.196:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://123.139.57.170:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://182.114.50.17:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://192.168.10.200:8008/paiptv/zjws.m3u8
江苏卫视,http://101.66.199.182:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://101.66.199.196:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://123.139.57.170:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://125.42.148.146:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://125.42.151.13:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://125.42.151.128:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://182.114.50.17:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://192.168.10.200:8008/paiptv/jsws.m3u8
东方卫视,http://101.66.199.182:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://101.66.199.196:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://125.42.148.146:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://125.42.151.13:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://125.42.151.128:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://182.114.50.17:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://192.168.10.200:8008/paiptv/dfws.m3u8
深圳卫视,http://123.139.57.170:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://125.42.148.146:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://125.42.151.13:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://125.42.151.128:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://182.114.50.17:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://192.168.10.200:8008/paiptv/szws.m3u8
北京卫视,http://125.42.148.146:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://125.42.151.13:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://125.42.151.128:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://182.114.50.17:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://192.168.10.200:8008/paiptv/bjws.m3u8
广东卫视,http://101.66.199.182:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://101.66.199.196:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://123.139.57.170:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://125.42.148.146:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://125.42.151.13:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://125.42.151.128:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://192.168.10.200:8008/paiptv/gdws.m3u8
广西卫视,http://101.66.199.182:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://101.66.199.196:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://123.139.57.170:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.199.182:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.199.196:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://123.139.57.170:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://125.42.148.146:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://125.42.151.13:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://125.42.151.128:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://192.168.10.200:8008/paiptv/dnws.m3u8
海南卫视,http://123.139.57.170:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://101.66.199.182:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://101.66.199.196:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://123.139.57.170:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://192.168.10.200:8008/paiptv/hbws1.m3u8
河南卫视,http://101.66.199.182:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://101.66.199.196:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://123.139.57.170:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://125.42.148.146:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://125.42.151.13:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://125.42.151.128:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://182.114.50.17:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://101.66.199.182:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://101.66.199.196:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://123.139.57.170:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://125.42.148.146:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://125.42.151.13:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://125.42.151.128:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://182.114.50.17:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://192.168.10.200:8008/paiptv/hbws.m3u8
江西卫视,http://101.66.199.182:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://101.66.199.196:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://123.139.57.170:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://125.42.148.146:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://125.42.151.13:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://125.42.151.128:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://192.168.10.200:8008/paiptv/jxws.m3u8
四川卫视,http://101.66.199.182:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://101.66.199.196:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://123.139.57.170:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://101.66.199.182:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://101.66.199.196:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://123.139.57.170:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://101.66.199.182:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://101.66.199.196:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://192.168.10.200:8008/paiptv/gzws.m3u8
云南卫视,http://101.66.199.182:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
