东方卫视,rtp//:239.45.3.146:5140$上海电信
都市剧场,rtp//:239.45.3.136:5140$上海电信
欢笑剧场,rtp//:239.45.3.196:5140$上海电信
动漫秀场,rtp//:239.45.3.134:5140$上海电信
哈哈炫动,rtp//:239.45.1.55:5140$上海电信
法治天地,rtp//:239.45.1.46:5140$上海电信
金色学堂,rtp//:239.45.0.9:5140$上海电信
游戏风云,rtp//:239.45.3.131:5140$上海电信
生活时尚,rtp//:239.45.3.132:5140$上海电信
东方财经,rtp//:239.45.0.17:5140$上海电信
五星体育,rtp//:239.45.3.210:5140$上海电信
乐游纪实,rtp//:239.45.3.135:5140$上海电信
CCTV-1综合,rtp//:239.45.3.145:5140$上海电信
CCTV-2财经,rtp//:239.45.3.208:5140$上海电信
CCTV-3综艺,rtp//:239.45.1.68:5140$上海电信
CCTV-4中文国际,rtp//:239.45.0.2:5140$上海电信
CCTV-5体育,rtp//:239.45.1.69:5140$上海电信
CCTV-6电影,rtp//:239.45.1.70:5140$上海电信
CCTV-7国防军事,rtp//:239.45.3.56:5140$上海电信
CCTV-8电视剧,rtp//:239.45.1.71:5140$上海电信
CCTV-9纪录,rtp//:239.45.3.4:5140$上海电信
CCTV-10科教,rtp//:239.45.3.8:5140$上海电信
CCTV-11戏曲,rtp//:239.45.1.196:5140$上海电信
CCTV-12社会与法,rtp//:239.45.3.10:5140$上海电信
CCTV-13新闻,rtp//:239.45.1.198:5140$上海电信
CCTV-14少儿,rtp//:239.45.3.23:5140$上海电信
CCTV-15音乐,rtp//:239.45.1.200:5140$上海电信
CCTV-17农业农村,rtp//:239.45.3.52:5140$上海电信
欢笑剧场,rtp//:239.45.1.4:5140$上海电信
北京卫视,rtp//:239.45.3.229:5140$上海电信
江苏卫视,rtp//:239.45.3.177:5140$上海电信
浙江卫视,rtp//:239.45.3.178:5140$上海电信
湖北卫视,rtp//:239.45.3.239:5140$上海电信
湖南卫视,rtp//:239.45.3.228:5140$上海电信
天津卫视,rtp//:239.45.1.124:5140$上海电信
安徽卫视,rtp//:239.45.1.120:5140$上海电信
山东卫视,rtp//:239.45.3.238:5140$上海电信
广东卫视,rtp//:239.45.3.230:5140$上海电信
东南卫视,rtp//:239.45.1.121:5140$上海电信
广西卫视,rtp//:239.45.0.5:5140$上海电信
江西卫视,rtp//:239.45.1.122:5140$上海电信
河北卫视,rtp//:239.45.1.44:5140$上海电信
河南卫视,rtp//:239.45.0.3:5140$上海电信
海南卫视,rtp//:239.45.1.81:5140$上海电信
深圳卫视,rtp//:239.45.3.231:5140$上海电信
四川卫视,rtp//:239.45.1.83:5140$上海电信
重庆卫视,rtp//:239.45.1.84:5140$上海电信
云南卫视,rtp//:239.45.0.4:5140$上海电信
贵州卫视,rtp//:239.45.1.80:5140$上海电信
吉林卫视,rtp//:239.45.0.6:5140$上海电信
辽宁卫视,rtp//:239.45.1.123:5140$上海电信
黑龙江卫视,rtp//:239.45.3.232:5140$上海电信
山西卫视,rtp//:239.45.1.229:5140$上海电信
青海卫视,rtp//:239.45.1.230:5140$上海电信
西藏卫视,rtp//:239.45.1.231:5140$上海电信
宁夏卫视,rtp//:239.45.1.213:5140$上海电信
陕西卫视,rtp//:239.45.1.232:5140$上海电信
云南卫视,rtp//:239.45.0.4:5140$上海电信
甘肃卫视,rtp//:239.45.1.234:5140$上海电信
内蒙古卫视,rtp//:239.45.1.238:5140$上海电信
河南卫视,rtp//:239.45.0.3:5140$上海电信
新疆卫视,rtp//:239.45.1.116:5140$上海电信
兵团卫视,rtp//:239.45.1.117:5140$上海电信
三沙卫视,rtp//:239.45.1.82:5140$上海电信
康巴卫视,rtp//:239.45.1.251:5140$上海电信
金鹰卡通,rtp//:239.45.0.38:5140$上海电信
金鹰纪实,rtp//:239.45.1.45:5140$上海电信
卡酷少儿,rtp//:239.45.0.8:5140$上海电信
北京纪实科教,rtp//:239.45.1.14:5140$上海电信
CETV1,rtp//:239.45.1.125:5140$上海电信
CETV2,rtp//:239.45.1.52:5140$上海电信
CETV4,rtp//:239.45.1.50:5140$上海电信
嘉佳卡通,rtp//:239.45.1.48:5140$上海电信
