内蒙古卫视,rtp//:239.29.0.2:5000$内蒙古电信
CCTV-1综合,rtp//:239.29.0.113:5000$内蒙古电信
CCTV-2财经,rtp//:239.29.0.116:5000$内蒙古电信
CCTV-3综艺,rtp//:239.29.1.133:5000$内蒙古电信
CCTV-4中文国际,rtp//:239.29.0.87:5000$内蒙古电信
CCTV-5体育,rtp//:239.29.1.134:5000$内蒙古电信
CCTV-5+体育赛事,rtp//:239.29.1.10:5001$内蒙古电信
CCTV-6电影,rtp//:239.29.1.135:5000$内蒙古电信
CCTV-7国防军事,rtp//:239.29.0.117:5000$内蒙古电信
CCTV-8电视剧,rtp//:239.29.1.136:5000$内蒙古电信
CCTV-9纪录,rtp//:239.29.0.118:5000$内蒙古电信
CCTV-10科教,rtp//:239.29.0.119:5000$内蒙古电信
CCTV-11戏曲,rtp//:239.29.0.205:5000$内蒙古电信
CCTV-12社会与法,rtp//:239.29.0.120:5000$内蒙古电信
CCTV-13新闻,rtp//:239.29.1.123:5000$内蒙古电信
CCTV-14少儿,rtp//:239.29.0.121:5000$内蒙古电信
CCTV-15音乐,rtp//:239.29.0.206:5000$内蒙古电信
CCTV-16奥林匹克,rtp//:239.29.1.146:5000$内蒙古电信
CCTV-16奥林匹克4K,rtp//:239.29.1.149:5000$内蒙古电信
CCTV-17农业农村,rtp//:239.29.1.145:5000$内蒙古电信
北京卫视,rtp//:239.29.0.108:5000$内蒙古电信
天津卫视,rtp//:239.29.0.98:5000$内蒙古电信
湖南卫视,rtp//:239.29.0.90:5000$内蒙古电信
湖北卫视,rtp//:239.29.0.107:5000$内蒙古电信
东方卫视,rtp//:239.29.0.97:5000$内蒙古电信
江苏卫视,rtp//:239.29.0.102:5000$内蒙古电信
浙江卫视,rtp//:239.29.0.96:5000$内蒙古电信
山东卫视,rtp//:239.29.0.106:5000$内蒙古电信
安徽卫视,rtp//:239.29.0.81:5000$内蒙古电信
东南卫视,rtp//:239.29.0.103:5000$内蒙古电信
广东卫视,rtp//:239.29.0.123:5000$内蒙古电信
辽宁卫视,rtp//:239.29.0.109:5000$内蒙古电信
吉林卫视,rtp//:239.29.1.125:5000$内蒙古电信
贵州卫视,rtp//:239.29.0.104:5000$内蒙古电信
四川卫视,rtp//:239.29.0.100:5000$内蒙古电信
深圳卫视,rtp//:239.29.0.105:5000$内蒙古电信
重庆卫视,rtp//:239.29.0.99:5000$内蒙古电信
河北卫视,rtp//:239.29.0.124:5000$内蒙古电信
海南卫视,rtp//:239.29.1.126:5000$内蒙古电信
甘肃卫视,rtp//:239.29.1.124:5000$内蒙古电信
黑龙江卫视,rtp//:239.29.0.91:5000$内蒙古电信
河南卫视,rtp//:239.29.1.69:5001$内蒙古电信
广西卫视,rtp//:239.29.1.57:5001$内蒙古电信
江西卫视,rtp//:239.29.0.125:5000$内蒙古电信
云南卫视,rtp//:239.29.0.76:5000$内蒙古电信
山西卫视,rtp//:239.29.1.55:5001$内蒙古电信
陕西卫视,rtp//:239.29.1.86:5001$内蒙古电信
宁夏卫视,rtp//:239.29.0.80:5000$内蒙古电信
青海卫视,rtp//:239.29.1.87:5001$内蒙古电信
西藏卫视,rtp//:239.29.1.79:5001$内蒙古电信
新疆卫视,rtp//:239.29.1.59:5001$内蒙古电信
兵团卫视,rtp//:239.29.1.34:5001$内蒙古电信
三沙卫视,rtp//:239.29.1.121:5000$内蒙古电信
CETV1,rtp//:239.29.0.95:5000$内蒙古电信
CETV2,rtp//:239.29.0.139:5000$内蒙古电信
CCTV-4欧洲,rtp//:239.29.1.144:5000$内蒙古电信
CCTV-4美洲,rtp//:239.29.1.142:5000$内蒙古电信
CGTN英语,rtp//:239.29.1.143:5000$内蒙古电信
山东教育卫视,rtp//:239.29.1.96:5001$内蒙古电信
北京纪实科教,rtp//:239.29.0.110:5000$内蒙古电信
北京卡酷少儿,rtp//:239.29.1.41:5001$内蒙古电信
金鹰纪实,rtp//:239.29.0.92:5000$内蒙古电信
金鹰卡通,rtp//:239.29.1.85:5001$内蒙古电信
嘉佳卡通,rtp//:239.29.0.126:5000$内蒙古电信
优漫卡通,rtp//:239.29.0.127:5000$内蒙古电信
哈哈炫动,rtp//:239.29.0.128:5000$内蒙古电信
