CCTV-1,rtp://239.3.1.129:8008
CCTV-2,rtp://239.3.1.60:8084
CCTV-3,rtp://239.3.1.172:8001
CCTV-4,rtp://239.3.1.105:8092
CCTV4欧洲,rtp://239.3.1.213:4220
CCTV4美洲,rtp://239.3.1.214:4220
CCTV-5,rtp://239.3.1.173:8001
CCTV-5+,rtp://239.3.1.130:8004
CCTV-6,rtp://239.3.1.174:8001
CCTV-7,rtp://239.3.1.61:8104
CCTV-8,rtp://239.3.1.175:8001
CCTV-9,rtp://239.3.1.62:8112
CCTV-10,rtp://239.3.1.63:8116
CCTV-11,rtp://239.3.1.152:8120
CCTV-12,rtp://239.3.1.64:8124
CCTV-13,rtp://239.3.1.124:8128
CCTV-14,rtp://239.3.1.65:8132
CCTV-15,rtp://239.3.1.153:8136
CCTV-16,rtp://239.3.1.184:8001
CCTV17,rtp://239.3.1.151:8144
北京卫视,rtp://239.3.1.241:8000
BRTV文艺,rtp://239.3.1.242:8000
BRTV纪实科教,rtp://239.3.1.115:8000
BRTV影视,rtp://239.3.1.158:8000
BRTV财经,rtp://239.3.1.116:8000
BRTV体育休闲,rtp://239.3.1.243:8000
BRTV生活,rtp://239.3.1.117:8000
BRTV新闻,rtp://239.3.1.159:8000
湖南卫视,rtp://239.3.1.132:8012
江苏卫视,rtp://239.3.1.135:8028
东方卫视,rtp://239.3.1.136:8032
浙江卫视,rtp://239.3.1.137:8036
湖北卫视,rtp://239.3.1.138:8044
天津卫视,rtp://239.3.1.141:1234
山东卫视,rtp://239.3.1.209:8052
辽宁卫视,rtp://239.3.1.210:8056
安徽卫视,rtp://239.3.1.211:8064
黑龙江卫视,rtp://239.3.1.133:8016
贵州卫视,rtp://239.3.1.149:8076
东南卫视,rtp://239.3.1.156:8148
重庆卫视,rtp://239.3.1.122:8160
江西卫视,rtp://239.3.1.123:8164
河南卫视,rtp://239.3.1.50:8184
广东卫视,rtp://239.3.1.142:8048
河北卫视,rtp://239.3.1.148:8072
深圳卫视,rtp://239.3.1.134:8020
吉林卫视,rtp://239.3.1.240:8172
IPTV5＋,rtp://239.3.1.237:4120
CCTV4K,rtp://239.3.1.244:2000
CCTV4K,rtp://239.3.1.245:2000
4K超清,rtp://239.3.1.249:8001
爱上4K,rtp://239.3.1.236:2000
体育赛事,rtp://239.3.1.157:8176
CETV1,rtp://239.3.1.57:8152
金鹰纪实,rtp://239.3.1.58:8156
中国交通,rtp://239.3.1.188:8001
CGTN英语,rtp://239.3.1.215:4220
CGTN英文纪录,rtp://239.3.1.216:4220
CGTN西班牙语,rtp://239.3.1.217:4220
CGTN法语,rtp://239.3.1.218:4220
CGTN阿拉伯语,rtp://239.3.1.219:4220
CGTN俄语,rtp://239.3.1.220:4220
淘精彩,rtp://239.3.1.178:8001
淘Baby,rtp://239.3.1.238:8001
淘剧场,rtp://239.3.1.95:8001
淘电影,rtp://239.3.1.250:8001
淘娱乐,rtp://239.3.1.100:8001
熊猫频道,rtp://239.3.1.66:8068
萌宠TV,rtp://239.3.1.102:8001
快乐垂钓,rtp://239.3.1.164:8001
茶,rtp://239.3.1.165:8001
央广购物,rtp://239.3.1.222:8001
央广购物精选,rtp://239.3.1.223:8001
家有购物精选,rtp://239.3.1.186:8001
优购物,rtp://239.3.1.180:8001
时尚购物,rtp://239.3.1.181:8001
优购物精选,rtp://239.3.1.190:8001
时尚购物精选,rtp://239.3.1.191:8001
家有购物,rtp://239.3.1.185:8001
聚鲨环球精选,rtp://239.3.1.179:8001
房山电视台,rtp://239.3.1.96:8001
山东教育,rtp://239.3.1.52:4120
四川卫视,rtp://239.3.1.29:8288
广西卫视,rtp://239.3.1.39:8300
陕西卫视,rtp://239.3.1.41:8140
山西卫视,rtp://239.3.1.42:8172
内蒙古卫视,rtp://239.3.1.43:8176
青海卫视,rtp://239.3.1.44:8184
海南卫视,rtp://239.3.1.45:8304
三沙卫视,rtp://239.3.1.155:4120
云南卫视,rtp://239.3.1.26:8108
厦门卫视,rtp://239.3.1.143:4120
南方卫视,rtp://239.3.1.161:8001
IPTV3＋,rtp://239.3.1.198:9004
IPTV5＋,rtp://239.3.1.200:9008
IPTV6＋,rtp://239.3.1.197:9016
IPTV8＋,rtp://239.3.1.201:8072
财富天下,rtp://239.3.1.53:9136
金鹰卡通,rtp://239.3.1.51:9252
嘉佳卡通,rtp://239.3.1.147:9268
CETV2,rtp://239.3.1.54:4120
CETV3,rtp://239.3.1.55:4120
CETV4,rtp://239.3.1.56:4120
收视指南,rtp://239.3.1.193:8012
热播剧场,rtp://239.3.1.194:9020
经典电影,rtp://239.3.1.195:9024
魅力时尚,rtp://239.3.1.196:9012
少儿动画,rtp://239.3.1.199:9000
城市剧场,rtp://239.3.1.67:4120
军旅剧场,rtp://239.3.1.68:4120
古装剧场,rtp://239.3.1.69:4120
音乐现场,rtp://239.3.1.70:4120
地理,rtp://239.3.1.71:4120
美妆,rtp://239.3.1.72:4120
美人,rtp://239.3.1.73:4120
精选,rtp://239.3.1.74:4120
解密,rtp://239.3.1.75:4120
军事,rtp://239.3.1.76:4120
国学,rtp://239.3.1.77:4120
戏曲,rtp://239.3.1.78:4120
早教,rtp://239.3.1.79:4120
动画,rtp://239.3.1.80:4120
好学生,rtp://239.3.1.81:4120
鉴赏,rtp://239.3.1.82:4120
墨宝,rtp://239.3.1.83:4120
光影,rtp://239.3.1.84:4120
台球,rtp://239.3.1.85:4120
爱生活,rtp://239.3.1.86:4120
武术,rtp://239.3.1.87:4120
高网,rtp://239.3.1.88:4120
足球,rtp://239.3.1.89:4120
武侠剧场,rtp://239.3.1.90:4120
喜剧影院,rtp://239.3.1.91:4120
动作影院,rtp://239.3.1.92:4120
家庭影院,rtp://239.3.1.93:4120
星影,rtp://239.3.1.94:4120
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩青少,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
聚鲨环球,rtp://239.3.1.160:8001
轮播频道5,rtp://239.3.1.253:8001
VBR测试-1,rtp://239.3.1.139:8001
VBR测试-2,rtp://239.3.1.140:8001
4K测试,rtp://239.3.1.104:8001
测试,rtp://239.3.1.103:8001
总平台测试1,rtp://239.3.1.247:2000
总平台测试2,rtp://239.3.1.248:2000
甘肃卫视,rtp://239.3.1.201:8180
卡酷少儿,rtp://239.3.1.189:8000
西藏卫视,rtp://239.3.1.166:8188
宁夏卫视,rtp://239.3.1.169:8212
新疆卫视,rtp://239.3.1.167:8192
兵团卫视,rtp://239.3.1.168:8196
CCTV-16 4K,rtp://239.3.1.183:8001
