四川卫视,rtp//:239.93.0.169:5140
康巴卫视,rtp//:239.93.0.41:5140
凤凰中文,rtp//:239.93.0.162:2192
凤凰资讯,rtp//:239.93.0.118:2191
CCTV-1综合,rtp//:239.93.0.184:5140
CCTV-2财经,rtp//:239.93.1.23:6000
CCTV-3综艺,rtp//:239.93.1.11:2223
CCTV-4中文国际,rtp//:239.93.1.105:5140
CCTV-5体育,rtp//:239.93.42.37:5140
CCTV-6电影,rtp//:239.93.1.13:2226
CCTV-7国防军事,rtp//:239.93.1.67:5140
CCTV-8电视剧,rtp//:239.93.42.39:5140
CCTV-9纪录,rtp//:239.93.1.24:5140
CCTV-10科教,rtp//:239.93.1.28:5140
CCTV-11戏曲,rtp//:239.93.0.102:5140
CCTV-12社会与法,rtp//:239.93.1.30:8124
CCTV-13新闻,rtp//:239.93.0.66:5140
CCTV-14少儿,rtp//:239.93.1.29:6000
CCTV-15音乐,rtp//:239.93.0.103:5140
CCTV-17农业农村,rtp//:239.93.0.92:5140
CCTV-5+体育赛事,rtp//:239.93.1.36:8004
CCTV-高尔夫网球,rtp//:239.93.1.54:5140
CCTV-怀旧剧场,rtp//:239.93.1.198:5140
CCTV-第一剧场,rtp//:239.93.1.197:5140
CCTV-风云剧场,rtp//:239.93.1.156:5140
爱上4K,rtp//:239.93.0.97:5140
iHOT爱浪漫,rtp//:239.93.42.21:5140
iHOT爱喜剧,rtp//:239.93.42.9:5140
iHOT爱奇谈,rtp//:239.93.42.22:5140
iHOT爱科幻,rtp//:239.93.42.10:5140
iHOT爱院线,rtp//:239.93.42.11:5140
iHOT爱谍战,rtp//:239.93.42.14:5140
iHOT爱历史,rtp//:239.93.42.13:5140
iHOT爱悬疑,rtp//:239.93.42.12:5140
iHOT爱都市,rtp//:239.93.42.15:5140
iHOT爱旅行,rtp//:239.93.42.16:5140
iHOT爱体育,rtp//:239.93.42.19:5140
iHOT爱赛车,rtp//:239.93.42.20:5140
iHOT爱动漫,rtp//:239.93.42.23:5140
iHOT爱幼教,rtp//:239.93.42.17:5140
iHOT爱玩具,rtp//:239.93.42.18:5140
湖南卫视,rtp//:239.93.0.88:5140
江苏卫视,rtp//:239.93.0.89:5140
浙江卫视,rtp//:239.93.0.124:5140
东方卫视,rtp//:239.93.0.123:5140
北京卫视,rtp//:239.93.0.180:5140
深圳卫视,rtp//:239.93.0.182:5140
广东卫视,rtp//:239.93.0.181:5140
天津卫视,rtp//:239.93.0.167:5140
山东卫视,rtp//:239.93.0.168:5140
江西卫视,rtp//:239.93.0.134:5140
东南卫视,rtp//:239.93.0.42:5140
黑龙江卫视,rtp//:239.93.0.183:5140
重庆卫视,rtp//:239.93.1.107:5140
贵州卫视,rtp//:239.93.0.131:5140
湖北卫视,rtp//:239.93.0.250:5140
安徽卫视,rtp//:239.93.1.106:5140
河北卫视,rtp//:239.93.0.132:5140
辽宁卫视,rtp//:239.93.1.108:5140
云南卫视,rtp//:239.93.1.174:5140
河南卫视,rtp//:239.93.42.45:5140
广西卫视,rtp//:239.93.42.46:5140
云南卫视,rtp//:239.93.0.174:5140
吉林卫视,rtp//:239.93.0.248:5140
甘肃卫视,rtp//:239.93.0.81:5140
陕西卫视,rtp//:239.93.0.143:5140
都市剧场,rtp//:239.93.42.30:5140
纪实人文,rtp//:239.93.1.137:5140
生活时尚,rtp//:239.93.42.29:5140
东方财经,rtp//:239.93.1.165:5140
快乐垂钓,rtp//:239.93.1.151:5140
茶频道,rtp//:239.93.0.114:5140
CGTN英语,rtp//:239.93.0.104:5140
CGTN西班牙语,rtp//:239.93.42.49:5140
CGTN法语,rtp//:239.93.42.50:5140
CETV-1,rtp//:239.93.1.111:5140
求索频道,rtp//:239.93.42.24:5140
天元围棋,rtp//:239.93.42.55:5140
星空卫视,rtp//:239.93.0.156:2193
CHANNEL-V,rtp//:239.93.0.157:2194
