四川卫视,rtp://239.0.0.1:5140$四川联通
康巴卫视,rtp://239.0.0.175:5140$四川联通
CHC家庭影院,rtp://239.0.0.23:5140$四川联通
CHC动作电影,rtp://239.0.0.24:5140$四川联通
CHC影迷电影,rtp://239.0.0.25:5140$四川联通
CCTV-1综合,rtp://239.0.0.10:5140$四川联通
CCTV-2财经,rtp://239.0.0.11:5140$四川联通
CCTV-3综艺,rtp://239.0.0.12:5140$四川联通
CCTV-4中文国际,rtp://239.0.0.13:5140$四川联通
CCTV-5体育,rtp://239.0.0.14:5140$四川联通
CCTV-5+体育赛事,rtp://239.0.0.22:5140$四川联通
CCTV-6电影,rtp://239.0.0.15:5140$四川联通
CCTV-7国防军事,rtp://239.0.0.16:5140$四川联通
CCTV-8电视剧,rtp://239.0.0.17:5140$四川联通
CCTV-9纪录,rtp://239.0.0.18:5140$四川联通
CCTV-10科教,rtp://239.0.0.19:5140$四川联通
CCTV-11戏曲,rtp://239.0.0.187:5140$四川联通
CCTV-12社会与法,rtp://239.0.0.20:5140$四川联通
CCTV-13新闻,rtp://239.0.0.190:5140$四川联通
CCTV-14少儿,rtp://239.0.0.21:5140$四川联通
CCTV-15音乐,rtp://239.0.0.188:5140$四川联通
CCTV-17农业农村,rtp://239.0.0.152:5140$四川联通
CCTV4K超高清,rtp://239.0.0.184:5140$四川联通
湖南卫视,rtp://239.0.0.68:5140$四川联通
浙江卫视,rtp://239.0.0.61:5140$四川联通
江苏卫视,rtp://239.0.0.60:5140$四川联通
安徽卫视,rtp://239.0.0.65:5140$四川联通
北京卫视,rtp://239.0.0.52:5140$四川联通
重庆卫视,rtp://239.0.0.72:5140$四川联通
东方卫视,rtp://239.0.0.58:5140$四川联通
东南卫视,rtp://239.0.0.62:5140$四川联通
甘肃卫视,rtp://239.0.0.192:5140$四川联通
广东卫视,rtp://239.0.0.70:5140$四川联通
广西卫视,rtp://239.0.0.185:5140$四川联通
贵州卫视,rtp://239.0.0.64:5140$四川联通
河北卫视,rtp://239.0.0.55:5140$四川联通
河南卫视,rtp://239.0.0.182:5140$四川联通
黑龙江卫视,rtp://239.0.0.57:5140$四川联通
湖北卫视,rtp://239.0.0.67:5140$四川联通
吉林卫视,rtp://239.0.0.191:5140$四川联通
江西卫视,rtp://239.0.0.63:5140$四川联通
辽宁卫视,rtp://239.0.0.56:5140$四川联通
山东卫视,rtp://239.0.0.66:5140$四川联通
陕西卫视,rtp://239.0.0.53:5140$四川联通
深圳卫视,rtp://239.0.0.71:5140$四川联通
天津卫视,rtp://239.0.0.54:5140$四川联通
云南卫视,rtp://239.0.0.74:5140$四川联通
山西卫视,rtp://239.0.0.78:5140$四川联通
海南卫视,rtp://239.0.0.100:5140$四川联通
内蒙古卫视,rtp://239.0.0.79:5140$四川联通
宁夏卫视,rtp://239.0.0.110:5140$四川联通
青海卫视,rtp://239.0.0.108:5140$四川联通
西藏卫视,rtp://239.0.0.104:5140$四川联通
新疆卫视,rtp://239.0.0.111:5140$四川联通
厦门卫视,rtp://239.0.0.194:5140$四川联通
三沙卫视,rtp://239.0.0.195:5140$四川联通
安多卫视,rtp://239.0.0.109:5140$四川联通
兵团卫视,rtp://239.0.0.183:5140$四川联通
山东教育卫视,rtp://239.0.0.197:5140$四川联通
延边卫视,rtp://239.0.0.76:5140$四川联通
CETV1,rtp://239.0.0.51:5140$四川联通
CETV2,rtp://239.0.0.196:5140$四川联通
CETV4,rtp://239.0.0.98:5140$四川联通
CGTN英语,rtp://239.0.0.49:5140$四川联通
北京纪实科教,rtp://239.0.0.77:5140$四川联通
欢笑剧场4K,rtp://239.0.0.201:5140$四川联通
动漫秀场,rtp://239.0.0.28:5140$四川联通
乐游频道,rtp://239.0.0.30:5140$四川联通
金色学堂,rtp://239.0.0.32:5140$四川联通
法治天地,rtp://239.0.0.33:5140$四川联通
金鹰纪实,rtp://239.0.0.69:5140$四川联通
茶频道,rtp://239.0.0.36:5140$四川联通
快乐垂钓,rtp://239.0.0.40:5140$四川联通
中国交通,rtp://239.0.0.143:5140$四川联通
先锋乒羽,rtp://239.0.0.37:5140$四川联通
金鹰卡通,rtp://239.0.0.95:5140$四川联通
卡酷少儿,rtp://239.0.0.75:5140$四川联通
