天津卫视,rtp//:239.5.1.1:5000$天津电信
CCTV-1综合,rtp//:239.5.1.4:5000$天津电信
CCTV-2财经,rtp//:239.5.1.5:5000$天津电信
CCTV-3综艺,rtp//:239.5.1.101:5000$天津电信
CCTV-4中文国际,rtp//:239.5.1.6:5000$天津电信
CCTV-5体育,rtp//:239.5.1.102:5000$天津电信
CCTV-5+体育赛事,rtp//:239.5.1.7:5000$天津电信
CCTV-6电影,rtp//:239.5.1.103:5000$天津电信
CCTV-7国防军事,rtp//:239.5.1.8:5000$天津电信
CCTV-8电视剧,rtp//:239.5.1.104:5000$天津电信
CCTV-9纪录,rtp//:239.5.1.9:5000$天津电信
CCTV-10科教,rtp//:239.5.1.10:5000$天津电信
CCTV-11戏曲,rtp//:239.5.1.137:5000$天津电信
CCTV-12社会与法,rtp//:239.5.1.11:5000$天津电信
CCTV-13新闻,rtp//:239.5.1.138:5000$天津电信
CCTV-14少儿,rtp//:239.5.1.12:5000$天津电信
CCTV-15音乐,rtp//:239.5.1.139:5000$天津电信
CCTV-16奥林匹克,rtp//:239.5.1.146:5000$天津电信
CCTV-17农业农村,rtp//:239.5.1.140:5000$天津电信
CHC家庭影院,rtp//:239.5.1.50:5000$天津电信
CHC影迷电影,rtp//:239.5.1.51:5000$天津电信
CHC动作电影,rtp//:239.5.1.52:5000$天津电信
CCTV风云足球,rtp//:239.5.1.119:5000$天津电信
CCTV高尔夫网球,rtp//:239.5.1.120:5000$天津电信
CCTV第一剧场,rtp//:239.5.1.121:5000$天津电信
CCTV怀旧剧场,rtp//:239.5.1.122:5000$天津电信
CCTV风云剧场,rtp//:239.5.1.123:5000$天津电信
CCTV世界地理,rtp//:239.5.1.124:5000$天津电信
CCTV兵器科技,rtp//:239.5.1.125:5000$天津电信
CCTV央视文化精品,rtp//:239.5.1.126:5000$天津电信
CCTV女性时尚,rtp//:239.5.1.127:5000$天津电信
CCTV风云音乐,rtp//:239.5.1.128:5000$天津电信
CCTV电视指南,rtp//:239.5.1.129:5000$天津电信
CCTV央视台球,rtp//:239.5.1.130:5000$天津电信
CCTV卫生健康,rtp//:239.5.1.131:5000$天津电信
浙江卫视,rtp//:239.5.1.14:5000$天津电信
北京卫视,rtp//:239.5.1.89:5000$天津电信
湖南卫视,rtp//:239.5.1.16:5000$天津电信
黑龙江卫视,rtp//:239.5.1.17:5000$天津电信
广东卫视,rtp//:239.5.1.18:5000$天津电信
深圳卫视,rtp//:239.5.1.19:5000$天津电信
湖北卫视,rtp//:239.5.1.20:5000$天津电信
山东卫视,rtp//:239.5.1.21:5000$天津电信
四川卫视,rtp//:239.5.1.22:5000$天津电信
江苏卫视,rtp//:239.5.1.25:5000$天津电信
安徽卫视,rtp//:239.5.1.26:5000$天津电信
辽宁卫视,rtp//:239.5.1.46:5000$天津电信
重庆卫视,rtp//:239.5.1.47:5000$天津电信
东方卫视,rtp//:239.5.1.81:5000$天津电信
河北卫视,rtp//:239.5.1.82:5000$天津电信
吉林卫视,rtp//:239.5.1.83:5000$天津电信
江西卫视,rtp//:239.5.1.84:5000$天津电信
贵州卫视,rtp//:239.5.1.85:5000$天津电信
河南卫视,rtp//:239.5.1.109:5000$天津电信
广西卫视,rtp//:239.5.1.110:5000$天津电信
云南卫视,rtp//:239.5.0.61:5000$天津电信
海南卫视,rtp//:239.5.1.111:5000$天津电信
西藏卫视,rtp//:239.5.0.51:5000$天津电信
宁夏卫视,rtp//:239.5.0.56:5000$天津电信
兵团卫视,rtp//:239.5.0.57:5000$天津电信
动漫秀场,rtp//:239.5.1.35:5000$天津电信
游戏风云,rtp//:239.5.1.36:5000$天津电信
欢笑剧场,rtp//:239.5.1.39:5000$天津电信
法治天地,rtp//:239.5.1.63:5000$天津电信
生活时尚,rtp//:239.5.1.41:5000$天津电信
乐游频道,rtp//:239.5.1.42:5000$天津电信
都市剧场,rtp//:239.5.1.43:5000$天津电信
东方财经,rtp//:239.5.1.156:5000$天津电信
游戏风云,rtp//:239.5.1.36:5000$天津电信
金色学堂,rtp//:239.5.1.64:5000$天津电信
河南梨园频道,rtp//:239.5.1.148:5000$天津电信
河南文物宝库,rtp//:239.5.1.149:5000$天津电信
河南武术世界,rtp//:239.5.1.150:5000$天津电信
金鹰纪实,rtp//:239.5.1.23:5000$天津电信
金鹰卡通,rtp//:239.5.1.147:5000$天津电信
快乐垂钓,rtp//:239.5.1.67:5000$天津电信
茶频道,rtp//:239.5.1.68:5000$天津电信
CETV早期教育,rtp//:239.5.1.144:5000$天津电信
卡酷少儿,rtp//:239.5.0.58:5000$天津电信
哈哈炫动,rtp//:239.5.0.62:5000$天津电信
新动漫,rtp//:239.5.0.109:5000$天津电信
先锋乒羽,rtp//:239.5.0.112:5000$天津电信
山东教育卫视,rtp//:239.5.0.141:5000$天津电信
汽摩,rtp//:239.5.0.88:5000$天津电信
