山东卫视,rtp//:239.21.1.87:5002$山东电信
CCTV-1综合,rtp//:239.21.1.120:5002$山东电信
CCTV-2财经,rtp//:239.21.1.151:5002$山东电信
CCTV-3综艺,rtp//:239.21.2.45:5002$山东电信
CCTV-4中文国际,rtp//:239.21.1.154:5002$山东电信
CCTV-5体育,rtp//:239.21.2.46:5002$山东电信
CCTV-6电影,rtp//:239.21.2.47:5002$山东电信
CCTV-7国防军事,rtp//:239.21.1.152:5002$山东电信
CCTV-8电视剧,rtp//:239.21.2.48:5002$山东电信
CCTV-9纪录,rtp//:239.21.1.153:5002$山东电信
CCTV-10科教,rtp//:239.21.1.155:5002$山东电信
CCTV-11戏曲,rtp//:239.21.2.2:5002$山东电信
CCTV-12社会与法,rtp//:239.21.1.156:5002$山东电信
CCTV-13新闻,rtp//:239.21.2.3:5002$山东电信
CCTV-14少儿,rtp//:239.21.1.157:5002$山东电信
CCTV-15音乐,rtp//:239.21.2.4:5002$山东电信
CCTV-17农业农村,rtp//:239.21.1.186:5002$山东电信
CCTV-5+体育赛事,rtp//:239.21.1.142:5002$山东电信
江苏卫视,rtp//:239.21.1.89:5002$山东电信
湖南卫视,rtp//:239.21.1.158:5002$山东电信
浙江卫视,rtp//:239.21.1.90:5002$山东电信
深圳卫视,rtp//:239.21.1.93:5002$山东电信
湖北卫视,rtp//:239.21.1.163:5002$山东电信
北京卫视,rtp//:239.21.1.88:5002$山东电信
东南卫视,rtp//:239.21.1.113:5002$山东电信
东方卫视,rtp//:239.21.1.111:5002$山东电信
广东卫视,rtp//:239.21.1.92:5002$山东电信
四川卫视,rtp//:239.21.2.15:5002$山东电信
重庆卫视,rtp//:239.21.1.233:5002$山东电信
天津卫视,rtp//:239.21.1.165:5002$山东电信
安徽卫视,rtp//:239.21.1.159:5002$山东电信
江西卫视,rtp//:239.21.1.167:5002$山东电信
河北卫视,rtp//:239.21.1.168:5002$山东电信
河南卫视,rtp//:239.21.2.37:5002$山东电信
吉林卫视,rtp//:239.21.2.49:5002$山东电信
海南卫视,rtp//:239.21.2.14:5002$山东电信
青海卫视,rtp//:239.21.2.51:5002$山东电信
甘肃卫视,rtp//:239.21.2.22:5002$山东电信
贵州卫视,rtp//:239.21.1.166:5002$山东电信
辽宁卫视,rtp//:239.21.1.164:5002$山东电信
黑龙江卫视,rtp//:239.21.1.28:5002$山东电信
纪实科教,rtp//:239.21.1.172:5002$山东电信
湖南金鹰纪实,rtp//:239.21.1.170:5002$山东电信
CETV1,rtp//:239.21.2.7:5002$山东电信
中国交通,rtp//:239.21.1.115:5002$山东电信
CCTV-4 北美,rtp//:239.21.2.29:5002$山东电信
CCTV-4 欧洲,rtp//:239.21.2.28:5002$山东电信
CGTN,rtp//:239.21.2.30:5002$山东电信
CGTN俄语,rtp//:239.21.2.35:5002$山东电信
CGTN法语,rtp//:239.21.2.33:5002$山东电信
CGTN纪录,rtp//:239.21.2.31:5002$山东电信
CGTN西班牙语,rtp//:239.21.2.32:5002$山东电信
CGTN阿拉伯语,rtp//:239.21.2.34:5002$山东电信
