CCTV1,rtp://239.112.205.59:5140
CCTV2,rtp://239.112.205.78:5140
CCTV3,rtp://239.112.205.221:5140
CCTV4,rtp://239.112.205.202:5140
CCTV5,rtp://239.112.205.222:5140
CCTV5+,rtp://239.111.205.13:5140
CCTV6,rtp://239.112.205.223:5140
CCTV7,rtp://239.112.205.83:5140
CCTV8,rtp://239.112.205.224:5140
CCTV9,rtp://239.112.205.85:5140
CCTV10,rtp://239.112.205.86:5140
CCTV11,rtp://239.112.205.213:5140
CCTV12,rtp://239.112.205.88:5140
CCTV14,rtp://239.112.205.91:5140
CCTV15,rtp://239.112.205.214:5140
CCTV16,rtp://239.111.205.134:5140
CCTV17,rtp://239.112.205.211:5140
陕西卫视,rtp://239.111.205.35:5140
农林卫视,rtp://239.112.205.27:5140
CHC家庭影院,rtp://239.112.205.205:5140
CHC高清电影,rtp://239.112.205.206:5140
CHC动作电影,rtp://239.112.205.207:5140
第一剧场,rtp://239.111.205.65:5140
风云剧场,rtp://239.111.205.66:5140
怀旧剧场,rtp://239.111.205.67:5140
风云足球,rtp://239.111.205.68:5140
风云音乐,rtp://239.111.205.69:5140
央视台球,rtp://239.111.205.70:5140
世界地理,rtp://239.111.205.71:5140
女性时尚,rtp://239.111.205.72:5140
央视高网,rtp://239.111.205.73:5140
兵器科技,rtp://239.111.205.74:5140
文化精品,rtp://239.111.205.75:5140
东方卫视,rtp://239.112.205.61:5140
湖南卫视,rtp://239.112.205.62:5140
江苏卫视,rtp://239.112.205.63:5140
北京卫视,rtp://239.112.205.65:5140
广东卫视,rtp://239.112.205.66:5140
深圳卫视,rtp://239.112.205.67:5140
黑龙江卫视,rtp://239.112.205.68:5140
湖北卫视,rtp://239.112.205.69:5140
山东卫视,rtp://239.112.205.70:5140
四川卫视,rtp://239.112.205.184:5140
安徽卫视,rtp://239.112.205.72:5140
重庆卫视,rtp://239.112.205.179:5140
天津卫视,rtp://239.112.205.74:5140
东南卫视,rtp://239.112.205.182:5140
厦门卫视,rtp://239.112.205.60:5140
河南卫视,rtp://239.112.205.180:5140
江西卫视,rtp://239.111.205.16:5140
吉林卫视,rtp://239.112.205.183:5140
贵州卫视,rtp://239.112.205.178:5140
辽宁卫视,rtp://239.112.205.73:5140
河北卫视,rtp://239.112.205.200:5140
云南卫视,rtp://239.112.205.58:5140
山西卫视,rtp://239.112.205.46:5140
甘肃卫视,rtp://239.112.205.48:5140
宁夏卫视,rtp://239.112.205.49:5140
海南卫视,rtp://239.112.205.50:5140
广西卫视,rtp://239.112.205.51:5140
青海卫视,rtp://239.112.205.53:5140
西藏卫视,rtp://239.112.205.54:5140
内蒙古卫视,rtp://239.112.205.55:5140
新疆卫视,rtp://239.112.205.56:5140
兵团卫视,rtp://239.112.205.198:5140
安康镇坪,rtp://239.109.205.67:8472
安康镇坪,rtp://239.111.205.27:5140
安康综合,rtp://239.109.205.104:8768
安康综合,rtp://239.112.205.216:5140
白水,rtp://239.109.205.87:8632
百视通,rtp://239.111.205.21:5140
宝鸡,rtp://239.112.205.144:5140
宝鸡,rtp://239.112.205.147:5140
宝鸡1,rtp://239.112.205.143:5140
宝鸡2,rtp://239.112.205.148:5140
凤凰中文,rtp://239.111.205.78:5140
凤凰资讯,rtp://239.111.205.82:5140
凤翔,rtp://239.111.205.244:5140
扶风,rtp://239.111.205.80:5140
佛坪,rtp://239.112.205.229:5140
富平,rtp://239.109.205.71:8504
富平,rtp://239.112.205.188:5140
韩城综合,rtp://239.109.205.72:8512
华阴[720*576],rtp://239.112.205.193:5140
华阴1,rtp://239.109.205.63:8440
华州综合,rtp://239.109.205.93:8680
华州综合[768*576],rtp://239.112.205.192:5140
环球旅游,rtp://239.110.205.74:8004
环球旅游[768*576],rtp://239.111.205.61:5140
极速汽车,rtp://239.109.205.64:8448
极速汽车,rtp://239.111.205.185:5140
家家购物,rtp://239.110.205.30:9784
家有购物,rtp://239.110.205.31:9788
家有购物[768*576],rtp://239.111.205.95:5140
精选,rtp://239.110.205.56:9950
聚鲨环球,rtp://239.110.205.34:9800
聚鲨环球,rtp://239.112.205.158:5140
岚皋,rtp://239.111.205.248:5140
麟游,rtp://239.111.205.31:5140
留坝,rtp://239.110.205.54:9942
留坝,rtp://239.112.205.240:5140
陇县,rtp://239.111.205.252:5140
略阳,rtp://239.110.205.50:9926
略阳,rtp://239.112.205.235:5140
眉县新闻,rtp://239.111.205.81:5140
勉县综合,rtp://239.110.205.53:9938
勉县综合,rtp://239.112.205.239:5140
南郑,rtp://239.110.205.82:7948
南郑,rtp://239.111.205.8:5140
宁强,rtp://239.111.205.18:5140
农林卫视,rtp://239.112.205.27:5140
蒲城综合[720*576],rtp://239.112.205.194:5140
千阳,rtp://239.111.205.250:5140
融媒直播,rtp://239.111.205.6:5140
山西优购物,rtp://239.112.205.209:5140
陕视融媒,rtp://239.110.205.52:9934
陕视直播,rtp://239.110.205.41:9874
陕视直播,rtp://239.112.205.217:5140
陕西1套,rtp://239.109.205.2:9120
陕西1套,rtp://239.110.205.83:7944
陕西1套,rtp://239.112.205.18:5140
陕西2套,rtp://239.109.205.3:9128
陕西2套,rtp://239.110.205.84:7940
陕西2套,rtp://239.112.205.19:5140
陕西3套,rtp://239.109.205.4:9136
陕西3套,rtp://239.112.205.20:5140
陕西4套,rtp://239.109.205.5:9144
陕西4套,rtp://239.112.205.21:5140
陕西5套,rtp://239.109.205.6:9152
陕西5套,rtp://239.112.205.22:5140
陕西6套,rtp://239.109.205.7:9160
陕西6套,rtp://239.112.205.23:5140
陕西7套,rtp://239.109.205.8:9168
陕西7套,rtp://239.110.205.85:7936
陕西7套,rtp://239.112.205.24:5140
陕西8套,rtp://239.109.205.217:9706
陕西8套,rtp://239.111.205.41:5140
陕西都市,rtp://239.111.205.42:5140
陕西公共,rtp://239.111.205.100:5140
陕西乐家购物,rtp://239.111.205.101:5140
陕西生活,rtp://239.111.205.98:5140
陕西新闻,rtp://239.111.205.28:5140
陕西体育,rtp://239.111.205.36:5140
陕西影视,rtp://239.111.205.99:5140
商洛,rtp://239.109.205.69:8488
商洛,rtp://239.112.205.189:5140
生态环境,rtp://239.110.205.73:8000
生态环境[768*576],rtp://239.111.205.60:5140
丝路,rtp://239.110.205.40:9866
台球,rtp://239.110.205.22:9834
太白,rtp://239.111.205.251:5140
铜川,rtp://239.109.205.194:9638
铜川[785*576],rtp://239.111.205.29:5140
潼关综合[720*576],rtp://239.111.205.12:5140
渭南新闻,rtp://239.110.205.37:9854
渭南新闻,rtp://239.111.205.19:5140
渭南新闻[720*576],rtp://239.111.205.94:5140
西安1,rtp://239.109.205.130:8976
西安2,rtp://239.109.205.131:8984
西安3,rtp://239.110.205.38:9858
西安4,rtp://239.110.205.39:9862
西安都市[791*576],rtp://239.111.205.243:5140
西安教育,rtp://239.110.205.24:9842
西安教育[768*576],rtp://239.112.205.142:5140
西安乐购,rtp://239.111.205.30:5140
西安商务[785*576],rtp://239.112.205.174:5140
西安丝路[785*576],rtp://239.112.205.176:5140
西安新闻[791*576],rtp://239.111.205.242:5140
西安影视[785*576],rtp://239.112.205.175:5140
西部电影,rtp://239.111.205.102:5140
西教二,rtp://239.110.205.47:9914
西教二,rtp://239.112.205.242:5140
西教三,rtp://239.110.205.48:9918
西教三,rtp://239.112.205.241:5140
西教一,rtp://239.110.205.59:9910
西乡融媒,rtp://239.111.205.17:5140
咸阳综合[720*576],rtp://239.112.205.141:5140
兴平融媒[785*576],rtp://239.112.205.168:5140
